,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
33611|FAIRE,9.43967126687539E-13,-12.0250431295862,Homo sapiens,FAIRE,other,None,Endothelial Cell,Umbilical Vein,1,FAIRE
64008|ZNF589,9.63118473862323E-13,-12.0163202867281,Homo sapiens,ZNF589,,K562,Erythroblast,Bone Marrow,1,ZNF589
48334|SNAI2,9.82880443700651E-13,-12.0074993059714,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,0,SNAI2
64464|BCL11B,9.90707516024258E-13,-12.0040545422104,Homo sapiens,BCL11B,,HEK293,Epithelium,Embryonic Kidney,1,BCL11B
62659|NBN,1.12487796855021E-12,-11.9488945890725,Homo sapiens,NBN,tf,K562,Erythroblast,Bone Marrow,1,NBN
68051|NFKB1,1.20253806912274E-12,-11.9199011661406,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
58809|MAF,1.29007915461443E-12,-11.8893836421367,Homo sapiens,MAF,tf,None,Th2,None,1,MAF
4403|KAT8,1.39571687540752E-12,-11.8552026704798,Homo sapiens,KAT8,cr,None,T Lymphocyte,Blood,1,KAT8
45892|JUN,1.59344759609326E-12,-11.7976622146513,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1,JUN
46000|E2F4,1.81404891108627E-12,-11.7413510075028,Homo sapiens,E2F4,tf,MCF-10A,Epithelium,Breast,1,E2F4
43668|DPPA2,1.82365234024928E-12,-11.7390579516997,Homo sapiens,DPPA2,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0,DPPA2
36077|MYOD1,1.85690351983681E-12,-11.7312106605526,Homo sapiens,MYOD1,tf,None,None,Muscle,1,MYOD1
41287|STAT1,2.00445215980949E-12,-11.6980043045812,Homo sapiens,STAT1,tf,None,Monocyte,Blood,1,STAT1
65156|ZSCAN22,2.23682183886353E-12,-11.6503686057468,Homo sapiens,ZSCAN22,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN22
36821|KLF4,2.25802709863387E-12,-11.646270850402,Homo sapiens,KLF4,tf,MCF-7,Epithelium,Breast,1,KLF4
64787|ZNF687,2.28517205158596E-12,-11.6410810961449,Homo sapiens,ZNF687,,MCF-7,Epithelium,Breast,1,ZNF687
64660|PBX2,2.46752618338064E-12,-11.6077382302541,Homo sapiens,PBX2,tf,HepG2,Epithelium,Liver,1,PBX2
55465|NELFA,2.46985765173235E-12,-11.6073280762337,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
65155|ZBTB48,2.47202258663037E-12,-11.6069475654586,Homo sapiens,ZBTB48,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB48
76813|NEUROG2,2.69717581602436E-12,-11.5690907430389,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1,NEUROG2
45895|CCNT2,2.72876166107494E-12,-11.5640343953672,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1,CCNT2
70093|TET2,2.9053981442928E-12,-11.536794345194,Homo sapiens,TET2,cr,293T,None,None,1,TET2
50374|EZH1,2.98255864450425E-12,-11.5254110082664,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1,EZH1
63765|ZNF414,3.24912319271675E-12,-11.488233821772,Homo sapiens,ZNF414,,HEK293,Epithelium,Embryonic Kidney,1,ZNF414
64186|MLLT1,3.34432481707836E-12,-11.4756915483939,Homo sapiens,MLLT1,not sure,K562,Erythroblast,Bone Marrow,1,MLLT1
38173|SND1,3.41338068921004E-12,-11.4668152728103,Homo sapiens,SND1,tf,Mutu III,B Lymphocyte,None,1,SND1
53632|STAT5B,3.44629880189018E-12,-11.462647070943,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,1,STAT5B
72382|SIX1,3.65790731038373E-12,-11.436767303534,Homo sapiens,SIX1,other,None,Cortex,Embryonic Kidney,1,SIX1
67500|GATA3,3.67939012591023E-12,-11.4342241614629,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1,GATA3
45607|SREBF2,3.84642317996509E-12,-11.4149429367867,Homo sapiens,SREBF2,tf,GM12878,B Lymphocyte,Blood,1,SREBF2
2781|TRIM28,4.02561317613959E-12,-11.3951679590895,Homo sapiens,TRIM28,cr,U2OS,None,Bone,1,TRIM28
52788|CIITA,4.06652489459702E-12,-11.3907765646763,Homo sapiens,CIITA,predicted transcription factor,Raji,B Lymphocyte,Blood,1,CIITA
39656|NCOR1,4.29040136751269E-12,-11.3675020776189,Homo sapiens,NCOR1,cr,LS180,Epithelium,Colon,1,NCOR1
1222|TRRAP,4.33370006547307E-12,-11.3631411494116,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1,TRRAP
8791|KDM5B,4.48741044323242E-12,-11.348004205689,Homo sapiens,KDM5B,cr,K562,Erythroblast,Bone Marrow,1,KDM5B
2460|PML,4.58516558055067E-12,-11.3386449763689,Homo sapiens,PML,tf,NB4,Promyelocytic cell,Blood,1,PML
561|VDR,4.7091774924013E-12,-11.3270549403668,Homo sapiens,VDR,tf,GM10855,Lymphocyte,Blood,1,VDR
63920|HDGF,4.71495065212935E-12,-11.3265228483392,Homo sapiens,HDGF,,K562,Erythroblast,Bone Marrow,1,HDGF
40164|RUNX1T1,4.76307882024685E-12,-11.3221122316492,Homo sapiens,RUNX1T1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1T1
34356|SUMO1,5.01260144503135E-12,-11.2999368250308,Homo sapiens,SUMO1,other,HeLa,Epithelium,Cervix,1,SUMO1
63295|ZNF335,5.20283816030087E-12,-11.283759683076,Homo sapiens,ZNF335,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF335
49617|RARG,5.26961807523207E-12,-11.2782208598975,Homo sapiens,RARG,tf,MCF-7,Epithelium,Breast,1,RARG
7488|JUND,5.66147129177352E-12,-11.2470706905673,Homo sapiens,JUND,tf,K562,Erythroblast,Bone Marrow,1,JUND
55344|SUMO2,5.91443560793437E-12,-11.2280866921272,Homo sapiens,SUMO2,other,K562,Erythroblast,Bone Marrow,1,SUMO2
43669|TET3,6.28513907585671E-12,-11.2016851079209,Homo sapiens,TET3,cr,HEK293T,Epithelium,Embryonic Kidney,0,TET3
45608|NFE2,6.65484334305688E-12,-11.1768621634871,Homo sapiens,NFE2,tf,GM12878,B Lymphocyte,Blood,1,NFE2
77536|REL,6.78163081246908E-12,-11.168665856621,Homo sapiens,REL,tf,GM12878,Lymphoblastoid,None,1,REL
38790|KLF3,6.9272920732999E-12,-11.1594365009515,Homo sapiens,KLF3,tf,LoVo,None,Colon,1,KLF3
38724|GMEB2,6.96909197017703E-12,-11.1568238041159,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
42774|NFYC,7.54363238542055E-12,-11.1224194836951,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
6710|SRC,7.74513786439002E-12,-11.1109708473417,Homo sapiens,SRC,not sure,OCI-Ly2,Epithelium,Mammary Gland,1,SRC
8788|KAT2B,8.41626768277592E-12,-11.0748804600601,Homo sapiens,KAT2B,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,KAT2B
74838|JMJD6,8.62976357041134E-12,-11.0640011024855,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
63822|GTF2E2,1.01526009821384E-11,-10.9934226821366,Homo sapiens,GTF2E2,tf,K562,Erythroblast,Bone Marrow,1,GTF2E2
48279|CEBPA,1.05028208352564E-11,-10.9786940429627,Homo sapiens,CEBPA,tf,GM12878,B Lymphocyte,Blood,1,CEBPA
63537|ZNF692,1.07719944075768E-11,-10.9677038807302,Homo sapiens,ZNF692,,HEK293,Epithelium,Embryonic Kidney,1,ZNF692
47435|REST,1.08342224081071E-11,-10.9652022533323,Homo sapiens,REST,tf,None,T Lymphocyte,Blood,1,REST
33566|PR,1.24426025038815E-11,-10.9050887727912,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,0,PR
64317|ETV4,1.29726784869888E-11,-10.8869703452712,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
46230|CEBPD,1.35233491072029E-11,-10.8689157404464,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
8458|GATA1,1.39555034195382E-11,-10.855254492505,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
63685|ZBTB8A,1.55122581446676E-11,-10.8093249766297,Homo sapiens,ZBTB8A,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB8A
55645|ELL2,1.6600221197649E-11,-10.7798861249552,Homo sapiens,ELL2,predicted chromatin regulator,HCT-116,None,Colon,1,ELL2
63743|FOXK2,1.74186221002515E-11,-10.7589862028258,Homo sapiens,FOXK2,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,FOXK2
39914|ICE1,2.00105487735414E-11,-10.6987410010163,Homo sapiens,ICE1,other,HCT-116,None,Colon,1,ICE1
62761|PKNOX1,2.1853241438663E-11,-10.6604841360612,Homo sapiens,PKNOX1,tf,K562,Erythroblast,Bone Marrow,1,PKNOX1
69456|TP53,2.55306886742801E-11,-10.5929374702171,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
9319|SMC1A,2.60356181058796E-11,-10.5844321073762,Homo sapiens,SMC1A,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1,SMC1A
44144|PHF6,2.70299338467339E-11,-10.5681550171956,Homo sapiens,PHF6,predicted chromatin regulator,Jurkat,T Lymphocyte,Blood,1,PHF6
63718|ZC3H8,2.82793788386471E-11,-10.5485301341223,Homo sapiens,ZC3H8,tf,K562,Erythroblast,Bone Marrow,1,ZC3H8
44130|INO80,2.85830803470333E-11,-10.5438909698896,Homo sapiens,INO80,predicted chromatin regulator,None,T Lymphocyte,Blood,1,INO80
65139|ZBTB42,2.87386225927833E-11,-10.5415340509091,Homo sapiens,ZBTB42,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB42
73854|LMO1,3.00980351752855E-11,-10.521461854585,Homo sapiens,LMO1,not sure,Jurkat,T Lymphocyte,Blood,1,LMO1
74684|EZH2,3.20051207758354E-11,-10.4947805295936,Homo sapiens,EZH2,cr,K562,Erythroblast,Bone Marrow,1,EZH2
76682|ASXL1,3.32192606755655E-11,-10.4786100373902,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
77149|ZNF282,3.63419294657774E-11,-10.4395920188525,Homo sapiens,ZNF282,tf,293T,None,None,1,ZNF282
9320|NIPBL,3.92112453617699E-11,-10.4065893641483,Homo sapiens,NIPBL,not sure,LCL,Lymphoblastoid,Blood,1,NIPBL
76927|CD74,4.1535330730369E-11,-10.3815823270598,Homo sapiens,CD74,other,None,B Lymphocyte,None,1,CD74
63465|MBD1_isoform1,4.16960355131835E-11,-10.3799052360718,Homo sapiens,MBD1_isoform1,,HepG2,Epithelium,Liver,1,MBD1_isoform1
2158|ZNF263,4.29534741108739E-11,-10.3670017043318,Homo sapiens,ZNF263,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF263
64349|ZNF644,4.35032565526683E-11,-10.361478231553,Homo sapiens,ZNF644,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF644
64443|ZNF324,4.358718941333E-11,-10.3606411342316,Homo sapiens,ZNF324,,HEK293,Epithelium,Embryonic Kidney,1,ZNF324
64653|FOXJ2,4.70171679367581E-11,-10.3277435340048,Homo sapiens,FOXJ2,tf,K562,Erythroblast,Bone Marrow,1,FOXJ2
42707|ARNT2,5.05819275353758E-11,-10.2960046249318,Homo sapiens,ARNT2,tf,LoVo,None,Colon,1,ARNT2
52774|BCL6,5.22995535767734E-11,-10.2815020182067,Homo sapiens,BCL6,predicted transcription factor,None,T Lymphocyte,Tonsil,1,BCL6
74642|TSC22D4,5.28979082758951E-11,-10.2765615007852,Homo sapiens,TSC22D4,,HepG2,Epithelium,Liver,1,TSC22D4
38695|RBCK1,5.45120060202464E-11,-10.2635078358132,Homo sapiens,RBCK1,tf,LoVo,None,Colon,1,RBCK1
44228|TP63,5.87926374251424E-11,-10.2306770570163,Homo sapiens,TP63,predicted transcription factor,TT,None,Thyroid,1,TP63
65060|ZNF329,5.9020566212098E-11,-10.2289966284245,Homo sapiens,ZNF329,,HEK293,Epithelium,Embryonic Kidney,1,ZNF329
45620|SREBF1,6.6397498610371E-11,-10.177848281478,Homo sapiens,SREBF1,tf,GM12878,B Lymphocyte,Blood,1,SREBF1
55491|STAT5,6.74310052239946E-11,-10.171140366054,Homo sapiens,STAT5,tf,MV4-11,Macrophage,Blood,1,STAT5
38824|MNT,6.7874927900391E-11,-10.1682906187288,Homo sapiens,MNT,tf,LoVo,None,Colon,1,MNT
2467|RXRG,7.09075576033058E-11,-10.1493074735547,Homo sapiens,RXRG,tf,NB4,Promyelocytic cell,Blood,1,RXRG
45920|HMGN3,7.14158177039792E-11,-10.1462055868129,Homo sapiens,HMGN3,tf,K562,Erythroblast,Bone Marrow,1,HMGN3
63580|ZNF239,7.17758630308651E-11,-10.144021576856,Homo sapiens,ZNF239,,HEK293,Epithelium,Embryonic Kidney,1,ZNF239
42295|STAG1,7.75379760398209E-11,-10.1104855394935,Homo sapiens,STAG1,not sure,GM12878,B Lymphocyte,Blood,1,STAG1
43400|XBP1,7.94674881454682E-11,-10.0998105141984,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
46306|THAP1,8.02059529902977E-11,-10.0957933966174,Homo sapiens,THAP1,tf,K562,Erythroblast,Bone Marrow,1,THAP1
1938|ETS1,8.08486610992532E-11,-10.0923271678667,Homo sapiens,ETS1,tf,Jurkat E6-1,T Lymphocyte,Blood,1,ETS1
2110|PRAME,8.73362493436503E-11,-10.0588054627963,Homo sapiens,PRAME,not sure,K562,Erythroblast,Bone Marrow,1,PRAME
64046|HINFP,9.42048661300987E-11,-10.0259266632489,Homo sapiens,HINFP,tf,K562,Erythroblast,Bone Marrow,1,HINFP
64022|KLF13,9.85946324583154E-11,-10.0061467276266,Homo sapiens,KLF13,tf,K562,Erythroblast,Bone Marrow,1,KLF13
76519|SETD1A,1.00991326412725E-10,-9.99571592377029,Homo sapiens,SETD1A,predicted chromatin regulator,None,Erythroid Cell,None,1,SETD1A
64143|NFRKB,1.11939901792368E-10,-9.95101507844636,Homo sapiens,NFRKB,,K562,Erythroblast,Bone Marrow,1,NFRKB
52960|NR3C1,1.20434939798741E-10,-9.91924750011752,Homo sapiens,NR3C1,tf,Nalm6,B cell precursor,Blood,1,NR3C1
38083|SSRP1,1.50074730420613E-10,-9.823692428095,Homo sapiens,SSRP1,cr,HT1080,None,Connective Tissue,1,SSRP1
39777|REPIN1,1.56466173351077E-10,-9.80557953872366,Homo sapiens,REPIN1,predicted transcription factor,Kasumi-1,Myeloblast,Blood,1,REPIN1
65061|ZNF554,1.73776437684126E-10,-9.7600091098061,Homo sapiens,ZNF554,,HEK293,Epithelium,Embryonic Kidney,1,ZNF554
8482|KAT7,1.83100312689533E-10,-9.73731091403133,Homo sapiens,KAT7,cr,RKO,Epithelium,Colon,1,KAT7
38590|E2F7,1.95430172045263E-10,-9.70900838564693,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
9216|POLR2B,2.05874539638273E-10,-9.68639735895895,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
39577|BACH2,2.07804218277374E-10,-9.68234564082123,Homo sapiens,BACH2,tf,OCI-Ly7,B cell lymphoma,Blood,1,BACH2
64298|NFE2L2,2.15227557998077E-10,-9.66710212185208,Homo sapiens,NFE2L2,tf,HeLa-S3,Epithelium,Cervix,1,NFE2L2
42219|STAT3,2.21681895062886E-10,-9.65426977461379,Homo sapiens,STAT3,tf,SU-DHL6,B Lymphocyte,Lymph Node,1,STAT3
77263|NFIA,2.2552915091012E-10,-9.64679731515552,Homo sapiens,NFIA,tf,K562,Erythroblast,Bone Marrow,1,NFIA
73234|IKZF1,2.71631106496528E-10,-9.56602049725518,Homo sapiens,IKZF1,tf,None,B cell precursor,None,1,IKZF1
38585|TAF3,2.79009149117826E-10,-9.55438155534204,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
62509|ZEB2,2.84666235028652E-10,-9.54566404254875,Homo sapiens,ZEB2,,K562,Erythroblast,Bone Marrow,1,ZEB2
8800|SAP30,2.86120460657457E-10,-9.54345108440759,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
62639|RNF2,2.86802970261846E-10,-9.54241635523001,Homo sapiens,RNF2,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,RNF2
63902|ZXDB,2.91780710703904E-10,-9.53494342221554,Homo sapiens,ZXDB,,HEK293,Epithelium,Embryonic Kidney,1,ZXDB
74573|SPIN1,3.18706006030567E-10,-9.496609752148,Homo sapiens,SPIN1,other,T778,None,None,1,SPIN1
38761|RFX2,3.23133797497377E-10,-9.49061761549218,Homo sapiens,RFX2,tf,LoVo,None,Colon,1,RFX2
38654|NFATC1,3.47699979919014E-10,-9.45879533439889,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
63449|DEAF1,3.63925833912759E-10,-9.43898711416499,Homo sapiens,DEAF1,,K562,Erythroblast,Bone Marrow,1,DEAF1
77450|NFKB2,4.39048519762508E-10,-9.35748748271747,Homo sapiens,NFKB2,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB2
62947|ZNF766,4.9518428246742E-10,-9.30523314861233,Homo sapiens,ZNF766,,K562,Erythroblast,Bone Marrow,1,ZNF766
76413|PMEL,5.06246156106727E-10,-9.29563826133377,Homo sapiens,PMEL,other,None,None,None,1,PMEL
40215|IRF4,5.17259346466403E-10,-9.28629165323427,Homo sapiens,IRF4,predicted transcription factor,None,B Lymphocyte,Blood,1,IRF4
72398|BRD9,5.29225718803872E-10,-9.27635905854502,Homo sapiens,BRD9,other,NOMO-1,Acute myeloid leukemia,None,1,BRD9
64106|KDM4B,5.40147537808622E-10,-9.26748759924269,Homo sapiens,KDM4B,cr,K562,Erythroblast,Bone Marrow,1,KDM4B
34675|CHRM2,5.86088844123367E-10,-9.2320365450947,Homo sapiens,CHRM2,predicted chromatin regulator,C4-12,None,None,1,CHRM2
70762|HDAC4,5.93620652633575E-10,-9.22649099794336,Homo sapiens,HDAC4,cr,MM1.S,B Lymphocyte,Blood,1,HDAC4
65057|TGIF2,6.02452698839073E-10,-9.22007704574829,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
77120|ZNF441,6.31774521586692E-10,-9.19943789245022,Homo sapiens,ZNF441,tf,293T,None,None,1,ZNF441
68103|CLOCK,6.3303950970095E-10,-9.19856918364832,Homo sapiens,CLOCK,tf,U2OS,None,Bone,1,CLOCK
62772|CDC5L,6.55518694880897E-10,-9.18341491805805,Homo sapiens,CDC5L,not sure,K562,Erythroblast,Bone Marrow,1,CDC5L
71067|GATAD2B,6.61872168183919E-10,-9.17922588067079,Homo sapiens,GATAD2B,,HeLa,Epithelium,Cervix,1,GATAD2B
45831|IRF3,6.66894484080416E-10,-9.17594287463914,Homo sapiens,IRF3,tf,HepG2,Epithelium,Liver,1,IRF3
46123|MEF2A,6.97482849254527E-10,-9.1564664670016,Homo sapiens,MEF2A,tf,GM12878,B Lymphocyte,Blood,1,MEF2A
53254|FOXM1,7.05997205141529E-10,-9.15119701820317,Homo sapiens,FOXM1,tf,HEK293,Epithelium,Embryonic Kidney,1,FOXM1
64917|CBX1,7.73244301921494E-10,-9.11168327165219,Homo sapiens,CBX1,cr,K562,Erythroblast,Bone Marrow,1,CBX1
63825|GLIS2,9.13048414652451E-10,-9.03950619326643,Homo sapiens,GLIS2,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS2
63679|ZNF423,9.37747157703228E-10,-9.02791424351494,Homo sapiens,ZNF423,,HEK293,Epithelium,Embryonic Kidney,1,ZNF423
71069|MBD3,9.61107859964727E-10,-9.01722787106306,Homo sapiens,MBD3,cr,HeLa,Epithelium,Cervix,1,MBD3
64319|DPF2,9.61165591562008E-10,-9.01720178474935,Homo sapiens,DPF2,,K562,Erythroblast,Bone Marrow,1,DPF2
76849|EBF3,1.00184854856522E-09,-8.99919792666616,Homo sapiens,EBF3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,EBF3
63611|ZKSCAN8,1.08965186873533E-09,-8.96271223200123,Homo sapiens,ZKSCAN8,,K562,Erythroblast,Bone Marrow,1,ZKSCAN8
41574|BRD1,1.29834443196586E-09,-8.88661008021743,Homo sapiens,BRD1,cr,RKO,Epithelium,Colon,1,BRD1
77146|ZNF284,1.46357331809455E-09,-8.83458551658768,Homo sapiens,ZNF284,tf,293T,None,None,1,ZNF284
63424|ZFP69B,1.49595041909478E-09,-8.82508280023518,Homo sapiens,ZFP69B,,HEK293,Epithelium,Embryonic Kidney,1,ZFP69B
36842|FOXA1,1.50128209863709E-09,-8.82353769391914,Homo sapiens,FOXA1,tf,MDA-MB-453,Epithelium,Mammary Gland,1,FOXA1
42714|ETV5,1.66836683357374E-09,-8.77770845233081,Homo sapiens,ETV5,tf,LoVo,None,Colon,1,ETV5
65106|ZNF384,1.73093483990527E-09,-8.76171928059498,Homo sapiens,ZNF384,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF384
70966|MED12,1.78875469991624E-09,-8.74744921213084,Homo sapiens,MED12,predicted transcription factor,None,Progenitor Cells,None,1,MED12
45627|ESRRA,1.8068657126058E-09,-8.74307412327827,Homo sapiens,ESRRA,tf,GM12878,B Lymphocyte,Blood,1,ESRRA
63034|PRDM10,1.82524767522452E-09,-8.7386781960376,Homo sapiens,PRDM10,,HEK293,Epithelium,Embryonic Kidney,1,PRDM10
53302|T,1.86903176269126E-09,-8.7283833180731,Homo sapiens,T,tf,TSU-1621-MT,None,None,1,T
5194|HMGN1,1.92756999251031E-09,-8.71498984320743,Homo sapiens,HMGN1,both predicted transcription factor and chromatin regulator,None,T Lymphocyte,Blood,1,HMGN1
76686|CCND2,1.96753036085795E-09,-8.70607855734179,Homo sapiens,CCND2,other,MM1.S,B Lymphocyte,Blood,1,CCND2
1215|ELK4,2.06901812349614E-09,-8.68423570512939,Homo sapiens,ELK4,tf,HeLa-S3,Epithelium,Cervix,1,ELK4
64879|ZBTB1,2.15597523167688E-09,-8.66635623272827,Homo sapiens,ZBTB1,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB1
76518|ZBTB16,2.39612163444036E-09,-8.620491139611,Homo sapiens,ZBTB16,tf,None,Stromal Cell,None,1,ZBTB16
45919|ZMIZ1,2.47095199856773E-09,-8.60713569124691,Homo sapiens,ZMIZ1,not sure,K562,Erythroblast,Bone Marrow,1,ZMIZ1
64038|HBP1,2.47370385286771E-09,-8.60665229450635,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
38817|HOXA1,2.53357373969365E-09,-8.59626645104333,Homo sapiens,HOXA1,tf,LoVo,None,Colon,1,HOXA1
74674|SMAD4,2.61142035773432E-09,-8.5831232145997,Homo sapiens,SMAD4,predicted transcription factor,HepG2,Epithelium,Liver,1,SMAD4
50210|DDX21,2.68880367970681E-09,-8.57044090619342,Homo sapiens,DDX21,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,DDX21
67600|KLF6,2.73304762155036E-09,-8.5633528009468,Homo sapiens,KLF6,tf,CFPAC-1,original PDAC cell line,Pancreatic ductal,1,KLF6
39372|ETV1,2.90175367068102E-09,-8.53733945750978,Homo sapiens,ETV1,tf,LNCaP,Epithelium,Prostate,1,ETV1
42715|GLI2,2.96075397532292E-09,-8.52859767893248,Homo sapiens,GLI2,tf,LoVo,None,Colon,1,GLI2
38829|LYL1,3.01007468950232E-09,-8.52142272804859,Homo sapiens,LYL1,predicted transcription factor,LoVo,None,Colon,1,LYL1
62632|ZNF76,3.05039382642036E-09,-8.51564408668609,Homo sapiens,ZNF76,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,ZNF76
53399|CHD8,3.1888782725531E-09,-8.49636205854553,Homo sapiens,CHD8,cr,T47D,Epithelium,Mammary Gland,1,CHD8
63484|CSDE1,3.26212218348942E-09,-8.48649977639768,Homo sapiens,CSDE1,,K562,Erythroblast,Bone Marrow,1,CSDE1
36114|FANCD2,3.31243249496183E-09,-8.47985296358021,Homo sapiens,FANCD2,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0,FANCD2
57110|EPO,3.40417549704597E-09,-8.46798805862447,Homo sapiens,EPO,not sure,RL95-2,None,Uterus,1,EPO
62665|HLTF,3.57801854811157E-09,-8.44635741242107,Homo sapiens,HLTF,,K562,Erythroblast,Bone Marrow,1,HLTF
62504|SMC3,4.04086530902958E-09,-8.3935256253109,Homo sapiens,SMC3,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,SMC3
5882|PPARG,4.52715465115716E-09,-8.34417466941087,Homo sapiens,PPARG,tf,THP-1,Monocyte,Blood,1,PPARG
54625|NCAPG,5.25084054014968E-09,-8.27977117035979,Homo sapiens,NCAPG,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,NCAPG
62513|ID3,5.33943839142737E-09,-8.27250442018693,Homo sapiens,ID3,tf,K562,Erythroblast,Bone Marrow,1,ID3
46288|BCLAF1,6.17094692012543E-09,-8.20964818918694,Homo sapiens,BCLAF1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,BCLAF1
45714|TCF7L2,6.27154261856333E-09,-8.20262562211526,Homo sapiens,TCF7L2,tf,HCT-116,None,Colon,1,TCF7L2
8816|KDM4A,7.09456998704283E-09,-8.14907392267501,Homo sapiens,KDM4A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM4A
36230|TTF2,7.24578907984608E-09,-8.13991431214418,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1,TTF2
63123|MBD1_isoform2,7.70934038829552E-09,-8.11298277862584,Homo sapiens,MBD1_isoform2,,HepG2,Epithelium,Liver,1,MBD1_isoform2
48625|SPIB,8.3380485849105E-09,-8.07893557861521,Homo sapiens,SPIB,tf,OCI-Ly3,B Lymphocyte,Bone Marrow,1,SPIB
62862|ZNF584,8.53583248527912E-09,-8.06875411647871,Homo sapiens,ZNF584,,K562,Erythroblast,Bone Marrow,1,ZNF584
64010|KLF7,9.56937301621608E-09,-8.01911651619576,Homo sapiens,KLF7,,HEK293,Epithelium,Embryonic Kidney,1,KLF7
42749|ARNTL,1.00998988616929E-08,-7.99568297513108,Homo sapiens,ARNTL,predicted transcription factor,LoVo,None,Colon,1,ARNTL
64091|KLF8,1.05742164469014E-08,-7.97575180413208,Homo sapiens,KLF8,,HEK293,Epithelium,Embryonic Kidney,1,KLF8
38647|ETV7,1.14733373357545E-08,-7.94031023722645,Homo sapiens,ETV7,tf,LoVo,None,Colon,1,ETV7
49279|ZBTB17,1.1728950588541E-08,-7.93074084329742,Homo sapiens,ZBTB17,tf,LS174T,Epithelium,Colon,1,ZBTB17
72855|TRAF7,1.20875059406167E-08,-7.91766329946725,Homo sapiens,TRAF7,other,None,None,meningioma,1,TRAF7
43676|CDK2,1.25865357025745E-08,-7.9000937879452,Homo sapiens,CDK2,not sure,T47D-MTVL,Epithelium,Mammary Gland,0,CDK2
68828|HEXIM1,1.27020700624314E-08,-7.89612549609675,Homo sapiens,HEXIM1,other,A375,melanoma,None,1,HEXIM1
46195|TAF7,1.27779141712026E-08,-7.89354003333475,Homo sapiens,TAF7,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,TAF7
4125|HDAC3,1.38574640651257E-08,-7.85831623893704,Homo sapiens,HDAC3,cr,None,T Lymphocyte,Blood,1,HDAC3
